Date,RTO,Product,Spend
30/4/2018,Development West Coast,Other tourism products,0.212044833
30/4/2018,Development West Coast,"Retail sales - alcohol, food, and beverages",1.954841121
30/4/2018,Development West Coast,Retail sales - fuel and other automotive products,2.136033691
30/4/2018,Development West Coast,Retail sales - other,1.170770711
30/4/2018,Enterprise Dunedin,Accommodation services,3.232471655
30/4/2018,Enterprise Dunedin,"Cultural, recreation, and gambling services",0.595753352
30/4/2018,Enterprise Dunedin,Food and beverage serving services,5.270518083
30/4/2018,Enterprise Dunedin,Other passenger transport,0.578179182
30/4/2018,Enterprise Dunedin,Other tourism products,1.513258616
30/4/2018,Enterprise Dunedin,"Retail sales - alcohol, food, and beverages",5.72981839
30/4/2018,Enterprise Dunedin,Retail sales - fuel and other automotive products,2.328188292
30/4/2018,Enterprise Dunedin,Retail sales - other,11.2210266
30/4/2018,Great South,Accommodation services,1.924559235
30/4/2018,Great South,"Cultural, recreation, and gambling services",0.358263313
30/4/2018,Great South,Food and beverage serving services,2.340207521
30/4/2018,Great South,Other passenger transport,0.274341659
30/4/2018,Great South,Other tourism products,0.807778831
30/4/2018,Great South,"Retail sales - alcohol, food, and beverages",4.106359024
30/4/2018,Great South,Retail sales - fuel and other automotive products,2.395517195
30/4/2018,Great South,Retail sales - other,4.497335924
30/4/2018,Hamilton & Waikato Tourism,Accommodation services,2.87066618
30/4/2018,Hamilton & Waikato Tourism,"Cultural, recreation, and gambling services",2.028504747
30/4/2018,Hamilton & Waikato Tourism,Food and beverage serving services,9.460890774
30/4/2018,Hamilton & Waikato Tourism,Other passenger transport,0.798934548
30/4/2018,Hamilton & Waikato Tourism,Other tourism products,2.979800268
30/4/2018,Hamilton & Waikato Tourism,"Retail sales - alcohol, food, and beverages",10.14484523
30/4/2018,Hamilton & Waikato Tourism,Retail sales - fuel and other automotive products,9.354504771
30/4/2018,Hamilton & Waikato Tourism,Retail sales - other,15.10932032
30/4/2018,Hawke's Bay Tourism,Accommodation services,3.120379327
30/4/2018,Hawke's Bay Tourism,"Cultural, recreation, and gambling services",0.492794096
30/4/2018,Hawke's Bay Tourism,Food and beverage serving services,4.493790306
30/4/2018,Hawke's Bay Tourism,Other passenger transport,0.330329613
30/4/2018,Hawke's Bay Tourism,Other tourism products,1.492501168
30/4/2018,Hawke's Bay Tourism,"Retail sales - alcohol, food, and beverages",5.696336997
30/4/2018,Hawke's Bay Tourism,Retail sales - fuel and other automotive products,3.191233649
30/4/2018,Hawke's Bay Tourism,Retail sales - other,7.082493728
30/4/2018,Hurunui Tourism,Accommodation services,1.362206214
30/4/2018,Hurunui Tourism,"Cultural, recreation, and gambling services",0.865665752
30/4/2018,Hurunui Tourism,Food and beverage serving services,1.414707657
30/4/2018,Hurunui Tourism,Other passenger transport,0.041563297
30/4/2018,Hurunui Tourism,Other tourism products,0.100117356
30/4/2018,Hurunui Tourism,"Retail sales - alcohol, food, and beverages",1.341406128
30/4/2018,Hurunui Tourism,Retail sales - fuel and other automotive products,1.053903524
30/4/2018,Hurunui Tourism,Retail sales - other,0.646481243
30/4/2018,Lake Wanaka Tourism,Accommodation services,1.657665721
30/4/2018,Lake Wanaka Tourism,"Cultural, recreation, and gambling services",0.423157266
30/4/2018,Lake Wanaka Tourism,Food and beverage serving services,1.859228106
30/4/2018,Lake Wanaka Tourism,Other passenger transport,0.195094241
30/4/2018,Lake Wanaka Tourism,Other tourism products,0.610958931
30/4/2018,Lake Wanaka Tourism,"Retail sales - alcohol, food, and beverages",2.04579757
30/4/2018,Lake Wanaka Tourism,Retail sales - fuel and other automotive products,1.303650188
30/4/2018,Lake Wanaka Tourism,Retail sales - other,2.090278291
30/4/2018,Mackenzie Region,Accommodation services,0.971637542
30/4/2018,Mackenzie Region,"Cultural, recreation, and gambling services",0.105987449
30/4/2018,Mackenzie Region,Food and beverage serving services,0.961870734
30/4/2018,Mackenzie Region,Other passenger transport,0.175441611
30/4/2018,Mackenzie Region,Other tourism products,0.231970493
30/4/2018,Mackenzie Region,"Retail sales - alcohol, food, and beverages",0.901322871
30/4/2018,Mackenzie Region,Retail sales - fuel and other automotive products,1.012871477
30/4/2018,Mackenzie Region,Retail sales - other,0.225977566
30/4/2018,Nelson Regional Development Agency (NRDA),Accommodation services,2.542465379
30/4/2018,Nelson Regional Development Agency (NRDA),"Cultural, recreation, and gambling services",0.436457441
30/4/2018,Nelson Regional Development Agency (NRDA),Food and beverage serving services,3.17859674
30/4/2018,Nelson Regional Development Agency (NRDA),Other passenger transport,0.456762125
30/4/2018,Nelson Regional Development Agency (NRDA),Other tourism products,0.743424692
30/4/2018,Nelson Regional Development Agency (NRDA),"Retail sales - alcohol, food, and beverages",3.357205255
30/4/2018,Nelson Regional Development Agency (NRDA),Retail sales - fuel and other automotive products,2.282751421
30/4/2018,Nelson Regional Development Agency (NRDA),Retail sales - other,4.384262037
30/4/2018,Northland Inc,Accommodation services,3.438547581
30/4/2018,Northland Inc,"Cultural, recreation, and gambling services",0.943362454
30/4/2018,Northland Inc,Food and beverage serving services,5.615809039
30/4/2018,Northland Inc,Other passenger transport,0.831415051
30/4/2018,Northland Inc,Other tourism products,1.95469386
30/4/2018,Northland Inc,"Retail sales - alcohol, food, and beverages",8.381107636
30/4/2018,Northland Inc,Retail sales - fuel and other automotive products,5.336862227
30/4/2018,Northland Inc,Retail sales - other,9.428243273
30/4/2018,Not elsewhere classified,Accommodation services,0.476301767
30/4/2018,Not elsewhere classified,"Cultural, recreation, and gambling services",0.15287773
30/4/2018,Not elsewhere classified,Food and beverage serving services,1.94890181
30/4/2018,Not elsewhere classified,Other passenger transport,0.037206608
30/4/2018,Not elsewhere classified,Other tourism products,0.326019026
30/4/2018,Not elsewhere classified,"Retail sales - alcohol, food, and beverages",2.991049121
30/4/2018,Not elsewhere classified,Retail sales - fuel and other automotive products,3.860528429
30/4/2018,Not elsewhere classified,Retail sales - other,2.048023864
30/4/2018,Tourism Bay of Plenty,Accommodation services,3.340609172
30/4/2018,Tourism Bay of Plenty,"Cultural, recreation, and gambling services",0.775969579
30/4/2018,Tourism Bay of Plenty,Food and beverage serving services,7.260877823
30/4/2018,Tourism Bay of Plenty,Other passenger transport,0.683862643
30/4/2018,Tourism Bay of Plenty,Other tourism products,2.768073865
30/4/2018,Tourism Bay of Plenty,"Retail sales - alcohol, food, and beverages",8.698966181
30/4/2018,Tourism Bay of Plenty,Retail sales - fuel and other automotive products,4.818646275
30/4/2018,Tourism Bay of Plenty,Retail sales - other,13.95109289
30/4/2018,Tourism Central Otago,Accommodation services,1.292899851
30/4/2018,Tourism Central Otago,"Cultural, recreation, and gambling services",0.363971489
30/4/2018,Tourism Central Otago,Food and beverage serving services,1.385362822
30/4/2018,Tourism Central Otago,Other passenger transport,0.078586803
30/4/2018,Tourism Central Otago,Other tourism products,0.243377922
30/4/2018,Tourism Central Otago,"Retail sales - alcohol, food, and beverages",2.346307511
30/4/2018,Tourism Central Otago,Retail sales - fuel and other automotive products,1.597379516
30/4/2018,Tourism Central Otago,Retail sales - other,1.463344938
30/4/2018,Tourism Waitaki,Accommodation services,0.980889795
30/4/2018,Tourism Waitaki,"Cultural, recreation, and gambling services",0.07916028
30/4/2018,Tourism Waitaki,Food and beverage serving services,1.534800781
30/4/2018,Tourism Waitaki,Other passenger transport,0.097059614
30/4/2018,Tourism Waitaki,Other tourism products,0.181619702
30/4/2018,Tourism Waitaki,"Retail sales - alcohol, food, and beverages",1.434291076
30/4/2018,Tourism Waitaki,Retail sales - fuel and other automotive products,2.111741498
30/4/2018,Tourism Waitaki,Retail sales - other,1.064660054
30/4/2018,Trust Tairawhiti,Accommodation services,0.938266551
30/4/2018,Trust Tairawhiti,"Cultural, recreation, and gambling services",0.087081588
30/4/2018,Trust Tairawhiti,Food and beverage serving services,1.004285786
30/4/2018,Trust Tairawhiti,Other passenger transport,0.065724717
30/4/2018,Trust Tairawhiti,Other tourism products,0.244356911
30/4/2018,Trust Tairawhiti,"Retail sales - alcohol, food, and beverages",1.375099626
30/4/2018,Trust Tairawhiti,Retail sales - fuel and other automotive products,1.16982388
30/4/2018,Trust Tairawhiti,Retail sales - other,1.205693449
30/4/2018,Venture Taranaki,Accommodation services,2.362966085
30/4/2018,Venture Taranaki,"Cultural, recreation, and gambling services",0.214265405
30/4/2018,Venture Taranaki,Food and beverage serving services,2.730505063
30/4/2018,Venture Taranaki,Other passenger transport,0.330201625
30/4/2018,Venture Taranaki,Other tourism products,0.917960181
30/4/2018,Venture Taranaki,"Retail sales - alcohol, food, and beverages",3.709454568
30/4/2018,Venture Taranaki,Retail sales - fuel and other automotive products,2.152059926
30/4/2018,Venture Taranaki,Retail sales - other,4.885283158
30/4/2018,Venture Timaru,Accommodation services,0.57823285
30/4/2018,Venture Timaru,"Cultural, recreation, and gambling services",0.084752869
30/4/2018,Venture Timaru,Food and beverage serving services,1.74573257
30/4/2018,Venture Timaru,Other passenger transport,0.090662449
30/4/2018,Venture Timaru,Other tourism products,0.56871909
30/4/2018,Venture Timaru,"Retail sales - alcohol, food, and beverages",2.765544715
30/4/2018,Venture Timaru,Retail sales - fuel and other automotive products,1.945144021
30/4/2018,Venture Timaru,Retail sales - other,3.623732164
30/4/2018,Visit Ruapehu,Accommodation services,1.088760511
30/4/2018,Visit Ruapehu,"Cultural, recreation, and gambling services",0.296209125
30/4/2018,Visit Ruapehu,Food and beverage serving services,0.797788972
30/4/2018,Visit Ruapehu,Other passenger transport,0.029049164
30/4/2018,Visit Ruapehu,Other tourism products,0.064742635
30/4/2018,Visit Ruapehu,"Retail sales - alcohol, food, and beverages",1.332722277
30/4/2018,Visit Ruapehu,Retail sales - fuel and other automotive products,1.033876304
30/4/2018,Visit Ruapehu,Retail sales - other,0.33638294
30/4/2018,Visit Whanganui,Accommodation services,0.463898152
30/4/2018,Visit Whanganui,"Cultural, recreation, and gambling services",0.088762528
30/4/2018,Visit Whanganui,Food and beverage serving services,0.961035004
30/4/2018,Visit Whanganui,Other passenger transport,0.060403704
30/4/2018,Visit Whanganui,Other tourism products,0.426085035
30/4/2018,Visit Whanganui,"Retail sales - alcohol, food, and beverages",2.501736567
30/4/2018,Visit Whanganui,Retail sales - fuel and other automotive products,0.841897774
30/4/2018,Visit Whanganui,Retail sales - other,1.81166775
30/4/2018,Wellington Regional Economic Development Agency (WREDA),Accommodation services,8.2175393
30/4/2018,Wellington Regional Economic Development Agency (WREDA),"Cultural, recreation, and gambling services",0.959528499
30/4/2018,Wellington Regional Economic Development Agency (WREDA),Food and beverage serving services,15.61506067
30/4/2018,Wellington Regional Economic Development Agency (WREDA),Other passenger transport,2.285478533
30/4/2018,Wellington Regional Economic Development Agency (WREDA),Other tourism products,4.649139054
30/4/2018,Wellington Regional Economic Development Agency (WREDA),"Retail sales - alcohol, food, and beverages",12.40818554
30/4/2018,Wellington Regional Economic Development Agency (WREDA),Retail sales - fuel and other automotive products,4.664592562
30/4/2018,Wellington Regional Economic Development Agency (WREDA),Retail sales - other,21.69909329
31/5/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Accommodation services,12.24447378
31/5/2018,"Auckland Tourism, Events and Economic Development (ATEED)","Cultural, recreation, and gambling services",3.033548337
31/5/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Food and beverage serving services,29.14417644
31/5/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Other passenger transport,4.504764139
31/5/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Other tourism products,14.63082749
31/5/2018,"Auckland Tourism, Events and Economic Development (ATEED)","Retail sales - alcohol, food, and beverages",25.99316306
31/5/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Retail sales - fuel and other automotive products,15.04315773
31/5/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Retail sales - other,56.15388772
31/5/2018,Central Economic Development Agency (CEDA),Accommodation services,1.629009584
31/5/2018,Central Economic Development Agency (CEDA),"Cultural, recreation, and gambling services",0.190211265
31/5/2018,Central Economic Development Agency (CEDA),Food and beverage serving services,3.440667659
31/5/2018,Central Economic Development Agency (CEDA),Other passenger transport,0.513824371
31/5/2018,Central Economic Development Agency (CEDA),Other tourism products,2.019425733
31/5/2018,Central Economic Development Agency (CEDA),"Retail sales - alcohol, food, and beverages",3.538565644
31/5/2018,Central Economic Development Agency (CEDA),Retail sales - fuel and other automotive products,2.071150794
31/5/2018,Central Economic Development Agency (CEDA),Retail sales - other,7.760796246
31/5/2018,ChristchurchNZ,Accommodation services,5.179154398
31/5/2018,ChristchurchNZ,"Cultural, recreation, and gambling services",1.036879111
31/5/2018,ChristchurchNZ,Food and beverage serving services,9.791870272
31/5/2018,ChristchurchNZ,Other passenger transport,2.128453525
31/5/2018,ChristchurchNZ,Other tourism products,5.003957976
31/5/2018,ChristchurchNZ,"Retail sales - alcohol, food, and beverages",9.20500441
31/5/2018,ChristchurchNZ,Retail sales - fuel and other automotive products,6.823194253
31/5/2018,ChristchurchNZ,Retail sales - other,20.94350794
31/5/2018,Destination Clutha,Accommodation services,0.199205058
31/5/2018,Destination Clutha,"Cultural, recreation, and gambling services",0.040760675
31/5/2018,Destination Clutha,Food and beverage serving services,0.351853351
31/5/2018,Destination Clutha,Other passenger transport,0.034656806
31/5/2018,Destination Clutha,Other tourism products,0.119475453
31/5/2018,Destination Clutha,"Retail sales - alcohol, food, and beverages",0.591600795
31/5/2018,Destination Clutha,Retail sales - fuel and other automotive products,0.688947125
31/5/2018,Destination Clutha,Retail sales - other,0.34926745
31/5/2018,Destination Coromandel,Accommodation services,0.875716769
31/5/2018,Destination Coromandel,"Cultural, recreation, and gambling services",0.355799318
31/5/2018,Destination Coromandel,Food and beverage serving services,2.490455687
31/5/2018,Destination Coromandel,Other passenger transport,0.160956276
31/5/2018,Destination Coromandel,Other tourism products,0.766545592
31/5/2018,Destination Coromandel,"Retail sales - alcohol, food, and beverages",4.055141522
31/5/2018,Destination Coromandel,Retail sales - fuel and other automotive products,2.75223277
31/5/2018,Destination Coromandel,Retail sales - other,3.183802886
31/5/2018,Destination Fiordland,Accommodation services,0.379997721
31/5/2018,Destination Fiordland,"Cultural, recreation, and gambling services",0.043238514
31/5/2018,Destination Fiordland,Food and beverage serving services,0.244298105
31/5/2018,Destination Fiordland,Other passenger transport,0.226998923
31/5/2018,Destination Fiordland,Other tourism products,0.037048993
31/5/2018,Destination Fiordland,"Retail sales - alcohol, food, and beverages",0.203729798
31/5/2018,Destination Fiordland,Retail sales - fuel and other automotive products,0.202550852
31/5/2018,Destination Fiordland,Retail sales - other,0.098694241
31/5/2018,Destination Great Lake Taupo,Accommodation services,2.244037487
31/5/2018,Destination Great Lake Taupo,"Cultural, recreation, and gambling services",0.752597167
31/5/2018,Destination Great Lake Taupo,Food and beverage serving services,2.679991662
31/5/2018,Destination Great Lake Taupo,Other passenger transport,0.249629295
31/5/2018,Destination Great Lake Taupo,Other tourism products,0.71240549
31/5/2018,Destination Great Lake Taupo,"Retail sales - alcohol, food, and beverages",2.180038098
31/5/2018,Destination Great Lake Taupo,Retail sales - fuel and other automotive products,2.686131537
31/5/2018,Destination Great Lake Taupo,Retail sales - other,3.858812251
31/5/2018,Destination Kaikoura,Accommodation services,0.486576289
31/5/2018,Destination Kaikoura,"Cultural, recreation, and gambling services",0.163374031
31/5/2018,Destination Kaikoura,Food and beverage serving services,0.502476002
31/5/2018,Destination Kaikoura,Other passenger transport,0.033261215
31/5/2018,Destination Kaikoura,Other tourism products,0.041214117
31/5/2018,Destination Kaikoura,"Retail sales - alcohol, food, and beverages",0.560511583
31/5/2018,Destination Kaikoura,Retail sales - fuel and other automotive products,0.372687655
31/5/2018,Destination Kaikoura,Retail sales - other,0.302799211
31/5/2018,Destination Marlborough,Accommodation services,1.443085277
31/5/2018,Destination Marlborough,"Cultural, recreation, and gambling services",0.152692332
31/5/2018,Destination Marlborough,Food and beverage serving services,1.545544719
31/5/2018,Destination Marlborough,Other passenger transport,0.521980399
31/5/2018,Destination Marlborough,Other tourism products,0.453672018
31/5/2018,Destination Marlborough,"Retail sales - alcohol, food, and beverages",1.999599082
31/5/2018,Destination Marlborough,Retail sales - fuel and other automotive products,1.373842908
31/5/2018,Destination Marlborough,Retail sales - other,1.813515968
31/5/2018,Destination Queenstown,Accommodation services,3.571671882
31/5/2018,Destination Queenstown,"Cultural, recreation, and gambling services",1.203527717
31/5/2018,Destination Queenstown,Food and beverage serving services,5.181704858
31/5/2018,Destination Queenstown,Other passenger transport,0.959854288
31/5/2018,Destination Queenstown,Other tourism products,0.850471856
31/5/2018,Destination Queenstown,"Retail sales - alcohol, food, and beverages",3.341196561
31/5/2018,Destination Queenstown,Retail sales - fuel and other automotive products,1.298448481
31/5/2018,Destination Queenstown,Retail sales - other,4.92133167
31/5/2018,Destination Rotorua,Accommodation services,2.595596718
31/5/2018,Destination Rotorua,"Cultural, recreation, and gambling services",1.955064698
31/5/2018,Destination Rotorua,Food and beverage serving services,2.8532293
31/5/2018,Destination Rotorua,Other passenger transport,0.378192456
31/5/2018,Destination Rotorua,Other tourism products,0.770724326
31/5/2018,Destination Rotorua,"Retail sales - alcohol, food, and beverages",3.47097116
31/5/2018,Destination Rotorua,Retail sales - fuel and other automotive products,2.289085576
31/5/2018,Destination Rotorua,Retail sales - other,4.428084394
31/5/2018,Destination Wairarapa,Accommodation services,0.56723968
31/5/2018,Destination Wairarapa,"Cultural, recreation, and gambling services",0.104312004
31/5/2018,Destination Wairarapa,Food and beverage serving services,1.227055011
31/5/2018,Destination Wairarapa,Other passenger transport,0.267661876
31/5/2018,Destination Wairarapa,Other tourism products,0.507865609
31/5/2018,Destination Wairarapa,"Retail sales - alcohol, food, and beverages",2.038295806
31/5/2018,Destination Wairarapa,Retail sales - fuel and other automotive products,1.181281029
31/5/2018,Destination Wairarapa,Retail sales - other,2.466373786
31/5/2018,Development West Coast,Accommodation services,1.477895165
31/5/2018,Development West Coast,"Cultural, recreation, and gambling services",0.213942654
31/5/2018,Development West Coast,Food and beverage serving services,0.793690886
31/5/2018,Development West Coast,Other passenger transport,0.330731087
31/5/2018,Development West Coast,Other tourism products,0.235974339
31/5/2018,Development West Coast,"Retail sales - alcohol, food, and beverages",1.482629332
31/5/2018,Development West Coast,Retail sales - fuel and other automotive products,1.620405454
31/5/2018,Development West Coast,Retail sales - other,1.024764378
31/5/2018,Enterprise Dunedin,Accommodation services,3.180648848
31/5/2018,Enterprise Dunedin,"Cultural, recreation, and gambling services",0.374345045
31/5/2018,Enterprise Dunedin,Food and beverage serving services,5.108969343
31/5/2018,Enterprise Dunedin,Other passenger transport,0.505107369
31/5/2018,Enterprise Dunedin,Other tourism products,1.540795997
31/5/2018,Enterprise Dunedin,"Retail sales - alcohol, food, and beverages",5.433652435
31/5/2018,Enterprise Dunedin,Retail sales - fuel and other automotive products,2.118786991
31/5/2018,Enterprise Dunedin,Retail sales - other,9.77747196
31/5/2018,Great South,Accommodation services,1.633895203
31/5/2018,Great South,"Cultural, recreation, and gambling services",0.247526955
31/5/2018,Great South,Food and beverage serving services,2.181794666
31/5/2018,Great South,Other passenger transport,0.226330962
31/5/2018,Great South,Other tourism products,0.985111944
31/5/2018,Great South,"Retail sales - alcohol, food, and beverages",4.067995634
31/5/2018,Great South,Retail sales - fuel and other automotive products,2.271309224
31/5/2018,Great South,Retail sales - other,4.227025852
31/5/2018,Hamilton & Waikato Tourism,Accommodation services,2.924091626
31/5/2018,Hamilton & Waikato Tourism,"Cultural, recreation, and gambling services",1.678926211
31/5/2018,Hamilton & Waikato Tourism,Food and beverage serving services,8.38014004
31/5/2018,Hamilton & Waikato Tourism,Other passenger transport,0.825223177
31/5/2018,Hamilton & Waikato Tourism,Other tourism products,3.487970443
31/5/2018,Hamilton & Waikato Tourism,"Retail sales - alcohol, food, and beverages",9.300191948
31/5/2018,Hamilton & Waikato Tourism,Retail sales - fuel and other automotive products,8.464330006
31/5/2018,Hamilton & Waikato Tourism,Retail sales - other,13.81024065
31/5/2018,Hawke's Bay Tourism,Accommodation services,2.474786156
31/5/2018,Hawke's Bay Tourism,"Cultural, recreation, and gambling services",0.284481094
31/5/2018,Hawke's Bay Tourism,Food and beverage serving services,3.727380172
31/5/2018,Hawke's Bay Tourism,Other passenger transport,0.336802529
31/5/2018,Hawke's Bay Tourism,Other tourism products,1.335409664
31/5/2018,Hawke's Bay Tourism,"Retail sales - alcohol, food, and beverages",4.609875458
31/5/2018,Hawke's Bay Tourism,Retail sales - fuel and other automotive products,2.693060573
31/5/2018,Hawke's Bay Tourism,Retail sales - other,5.752409538
31/5/2018,Hurunui Tourism,Accommodation services,0.915948383
31/5/2018,Hurunui Tourism,"Cultural, recreation, and gambling services",0.415326908
